in-rho_O,in-rho_O2,in-Th,in-Tv,in-t,out-Y_O,out-Y_O2,out-Th,out-Tv
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.6515183114E-11,9.4045109595E-02,9.0595489040E-01,3.1862367024E+03,1.0721685384E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.6780334945E-11,9.4045109561E-02,9.0595489044E-01,3.1862355305E+03,1.0721732716E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.7048138294E-11,9.4045109526E-02,9.0595489047E-01,3.1862343469E+03,1.0721780521E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.7318619677E-11,9.4045109491E-02,9.0595489051E-01,3.1862331515E+03,1.0721828804E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.7591805874E-11,9.4045109455E-02,9.0595489054E-01,3.1862319442E+03,1.0721877569E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.7867723933E-11,9.4045109419E-02,9.0595489058E-01,3.1862307247E+03,1.0721926822E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.8146401172E-11,9.4045109383E-02,9.0595489062E-01,3.1862294931E+03,1.0721976566E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.8427865184E-11,9.4045109346E-02,9.0595489065E-01,3.1862282492E+03,1.0722026808E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.8712143836E-11,9.4045109309E-02,9.0595489069E-01,3.1862269928E+03,1.0722077552E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.8999265274E-11,9.4045109272E-02,9.0595489073E-01,3.1862257239E+03,1.0722128803E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.9289257927E-11,9.4045109234E-02,9.0595489077E-01,3.1862244423E+03,1.0722180566E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.9582150506E-11,9.4045109196E-02,9.0595489080E-01,3.1862231479E+03,1.0722232847E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.9877972011E-11,9.4045109158E-02,9.0595489084E-01,3.1862218405E+03,1.0722285650E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.0176751731E-11,9.4045109119E-02,9.0595489088E-01,3.1862205201E+03,1.0722338980E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.0478519248E-11,9.4045109079E-02,9.0595489092E-01,3.1862191864E+03,1.0722392844E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.0783304441E-11,9.4045109040E-02,9.0595489096E-01,3.1862178395E+03,1.0722447245E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.1091137485E-11,9.4045109000E-02,9.0595489100E-01,3.1862164790E+03,1.0722502191E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.1402048860E-11,9.4045108959E-02,9.0595489104E-01,3.1862151050E+03,1.0722557685E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.1716069349E-11,9.4045108918E-02,9.0595489108E-01,3.1862137173E+03,1.0722613734E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.2033230042E-11,9.4045108877E-02,9.0595489112E-01,3.1862123156E+03,1.0722670343E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.2353562343E-11,9.4045108835E-02,9.0595489116E-01,3.1862109000E+03,1.0722727518E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.2677097966E-11,9.4045108793E-02,9.0595489121E-01,3.1862094702E+03,1.0722785264E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.3003868946E-11,9.4045108751E-02,9.0595489125E-01,3.1862080261E+03,1.0722843587E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.3333907635E-11,9.4045108708E-02,9.0595489129E-01,3.1862065676E+03,1.0722902493E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.3667246711E-11,9.4045108664E-02,9.0595489134E-01,3.1862050945E+03,1.0722961987E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.4003919179E-11,9.4045108620E-02,9.0595489138E-01,3.1862036066E+03,1.0723022076E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.4343958370E-11,9.4045108576E-02,9.0595489142E-01,3.1862021039E+03,1.0723082765E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.4687397954E-11,9.4045108531E-02,9.0595489147E-01,3.1862005862E+03,1.0723144061E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.5034271934E-11,9.4045108486E-02,9.0595489151E-01,3.1861990533E+03,1.0723205969E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.5384614653E-11,9.4045108441E-02,9.0595489156E-01,3.1861975051E+03,1.0723268495E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.5738460800E-11,9.4045108395E-02,9.0595489161E-01,3.1861959414E+03,1.0723331647E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.6095845408E-11,9.4045108348E-02,9.0595489165E-01,3.1861943621E+03,1.0723395429E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.6456803862E-11,9.4045108301E-02,9.0595489170E-01,3.1861927670E+03,1.0723459849E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.6821371900E-11,9.4045108254E-02,9.0595489175E-01,3.1861911559E+03,1.0723524912E+03
